lost_rare_lemma,representative_translation_unit
monusco, United Nations Organization Stabilization Mission in the Democratic Republic of the Congo  
nam, Non-Aligned Movement  
nato, North Atlantic Treaty Organization  
ndf, National Defence Force  
nema, National Emergency Management Agency  
nsag, Non-State Armed Group  
ocac, Organisation for the Control of Arms and Ceasefire  
ofda, Office of U.S. Foreign Disaster Assistance  
omlt, Operational Mentoring and Liaison Team  
opcw, Organisation for the Prohibition of Chemical Weapons  
psd, Political and Security Directorate  
rci, Regional Cooperation Initiative  
rmc, Revolutionary Military Council  
sadc, Southern African Development Community  
samoa, Strategy for Accelerating Momentum and Overcoming Obstacles in Africa  
sfaf, Special Forces Airborne Forces  
slorcs, Somali Liberation and Resistance Committees  
snc, Syrian National Council  
africom, United States Africa Command  
apsta, African Peace Support Trainers Association  
arcss, Agreement on the Resolution of the Conflict in the Republic of South Sudan  
ascf, African Standby Capacity Framework  
auc, African Union Commission  
auf, Agence Universitaire de la Francophonie  
camops, Cameroon Operations Command  
capmas, Central Agency for Public Mobilization and Statistics  
cewarn, Conflict Early Warning and Response Mechanism  
cews, Continental Early Warning System  
ciav, International Support and Verification Commission  
cimic, Civil-Military Cooperation  
cmcoord, Civil-Military Coordination  
cnfai, National Council of the Forces for African Integration  
cns, National Security Council  
copax, Council for Peace and Security in Central Africa  
cpcc, Civilian Planning and Conduct Capability  
crsf, Central Reserve Security Forces  
csc, Ceasefire Supervisory Commission  
cssdca," Conference on Security, Stability, Development and Cooperation in Africa  "
demig, Democratic Integration Group  
dfgf, Democratic Front for the Great Future  
dpa, Department of Political Affairs  
dpko, Department of Peacekeeping Operations  
drcongo, Democratic Republic of the Congo  
dsrsg, Deputy Special Representative of the Secretary-General  
ecowarn, ECOWAS Warning and Response Network  
ecpdm, European Centre for Development Policy Management  
edrc, Emergency Disaster Response Committee  
eritredef, Eritrean Defence Forces  
faca, Central African Armed Forces  
fadr, Forces for the Democratic Renewal  
farl, Revolutionary Armed Forces of Liberia  
fas, Forum on African Security  
fdlr, Democratic Forces for the Liberation of Rwanda  
fgn, Federal Government of Nigeria  
gfap, General Framework Agreement for Peace  
gnsa, Ghana National Security Agency  
goc, Government of Cameroon  
goss, Government of South Sudan  
hsm, High State Movement  
icg, International Crisis Group  
icgl, International Contact Group on Libya  
iciss, International Commission on Intervention and State Sovereignty  
idpcc, Internally Displaced Persons Coordination Centre  
ifor, Implementation Force  
joc, Joint Operations Command  
jrtc, Joint Regional Task Command  
kfor, Kosovo Force  
mlc, Movement for the Liberation of the Congo  
mnla, National Movement for the Liberation of Azawad
